"species","region","minimum.age","maximum.age","family","Site"
"Stegoloxodon indonesicus","Eurasia","2","3","Elephantidae",699
"Stegoloxodon indonesicus","Eurasia","1.5","2.588","Elephantidae",700
"Stegotetrabelodon orbus","Africa","6.54","7.44","Elephantidae",701
"Stegotetrabelodon orbus","Africa","5.3","6.54","Elephantidae",702
"Stegotetrabelodon orbus","Africa","5.6","6.2","Elephantidae",703
"Stegotetrabelodon orbus","Africa","5.2","5.6","Elephantidae",704
"Stegotetrabelodon orbus","Africa","5.54","5.6","Elephantidae",705
"Stegotetrabelodon orbus","Africa","4.2","5","Elephantidae",706
"Stegotetrabelodon orbus","Africa","4.2","5","Elephantidae",707
"Stegotetrabelodon orbus","Africa","4.2","5","Elephantidae",707
"Stegotetrabelodon syrticus","Africa","5.3","7.1","Elephantidae",708
"Stegotetrabelodon syrticus","Eurasia","5.3","9","Elephantidae",709
"Stegotetrabelodon syrticus","Eurasia","7.1","8.2","Elephantidae",710
"Stegotetrabelodon syrticus","Eurasia","5.3","8.2","Elephantidae",711
"Stegotetrabelodon syrticus","Eurasia","5.3","8.2","Elephantidae",712
